t,s,kappa,tau
0.850000,0,nan,nan
0.850000,0,nan,nan
0.850000,0,nan,nan
0.850000,0,nan,nan
0.850000,0,nan,nan
0.850000,0,nan,nan
0.850000,0,nan,nan
0.850000,0,nan,nan
0.850000,0,nan,nan
0.850000,0,nan,nan
0.850000,0,nan,nan
0.850000,0,nan,nan
0.850000,0,nan,nan
0.850000,0,nan,nan
0.850000,0,nan,nan
0.850000,0,nan,nan
0.850000,0,nan,nan
0.850000,0,nan,nan
0.850000,0,nan,nan
0.850000,0,nan,nan
0.850000,0,nan,nan
0.850000,0,nan,nan
0.850000,0,nan,nan
0.850000,0,nan,nan
0.850000,0,nan,nan
0.850000,0,nan,nan
0.850000,0,nan,nan
0.850000,0,nan,nan
0.850000,0,nan,nan
0.850000,0,nan,nan
0.850000,0,nan,nan
0.850000,0,nan,nan
0.850000,0,nan,nan
0.850000,0,nan,nan
0.850000,0,nan,nan
0.850000,13.67549307,nan,nan
0.900000,0,nan,nan
0.900000,0,nan,nan
0.900000,0,nan,nan
0.900000,0,nan,nan
0.900000,0,nan,nan
0.900000,0,nan,nan
0.900000,0,nan,nan
0.900000,0,nan,nan
0.900000,0,nan,nan
0.900000,0,nan,nan
0.900000,0,nan,nan
0.900000,0,nan,nan
0.900000,0,nan,nan
0.900000,0,nan,nan
0.900000,0,nan,nan
0.900000,0,nan,nan
0.900000,0,nan,nan
0.900000,0,nan,nan
0.900000,0,nan,nan
0.900000,0,nan,nan
0.900000,0,nan,nan
0.900000,0,nan,nan
0.900000,0,nan,nan
0.900000,0,nan,nan
0.900000,0,nan,nan
0.900000,0,nan,nan
0.900000,0,nan,nan
0.900000,0,nan,nan
0.900000,0,nan,nan
0.900000,0,nan,nan
0.900000,0,nan,nan
0.900000,0,nan,nan
0.900000,0,nan,nan
0.900000,0,nan,nan
0.900000,0,nan,nan
0.900000,0,nan,nan
0.900000,0,nan,nan
0.900000,0,nan,nan
0.900000,0,nan,nan
0.900000,0,nan,nan
0.900000,0,nan,nan
0.900000,0,nan,nan
0.900000,0,nan,nan
0.900000,0,nan,nan
0.900000,0,nan,nan
0.900000,0,nan,nan
0.900000,0,nan,nan
0.900000,0,nan,nan
0.900000,0,nan,nan
0.900000,0,nan,nan
0.900000,14.66574412,nan,nan
0.950000,0,nan,nan
0.950000,0,nan,nan
0.950000,0,nan,nan
0.950000,0,nan,nan
0.950000,0,nan,nan
0.950000,0,nan,nan
0.950000,0,nan,nan
0.950000,0,nan,nan
0.950000,0,nan,nan
0.950000,0,nan,nan
0.950000,0,nan,nan
0.950000,0,nan,nan
0.950000,0,nan,nan
0.950000,0,nan,nan
0.950000,0,nan,nan
0.950000,0,nan,nan
0.950000,0,nan,nan
0.950000,0,nan,nan
0.950000,0,nan,nan
0.950000,0,nan,nan
0.950000,0,nan,nan
0.950000,0,nan,nan
0.950000,0,nan,nan
0.950000,0,nan,nan
0.950000,0,nan,nan
0.950000,0,nan,nan
0.950000,0,nan,nan
0.950000,0,nan,nan
0.950000,0,nan,nan
0.950000,0,nan,nan
0.950000,0,nan,nan
0.950000,0,nan,nan
0.950000,0,nan,nan
0.950000,0,nan,nan
0.950000,0,nan,nan
0.950000,0,nan,nan
0.950000,0,nan,nan
0.950000,0,nan,nan
0.950000,0,nan,nan
0.950000,0,nan,nan
0.950000,0,nan,nan
